Frame,Object Type,Object ID,X,Y,Speed (m/s),Distance (m),Team,Has Ball
0,Player,1,875,721,10.157955088808375,0.5878446231949291,2,False
0,Player,3,346,568,1.929108051075032,0.11163819740017546,2,False
0,Player,4,1329,516,N/A,N/A,2,False
0,Player,5,609,672,6.567415121120267,0.38005874543520063,1,False
0,Player,6,1406,903,5.9766327326889,0.3458699498083854,1,False
0,Player,7,1011,526,3.785699006708036,0.21907980362893728,2,False
0,Player,8,889,423,4.819600583158877,0.27891207078465724,2,False
0,Player,9,1246,501,N/A,N/A,1,False
0,Player,10,1291,462,N/A,N/A,2,False
0,Player,11,377,825,7.9158599916040195,0.45809374951412146,1,False
0,Player,12,238,594,2.3076691529299045,0.13354566857233244,1,False
0,Player,13,1592,694,N/A,N/A,2,False
0,Player,14,556,785,0.30554597722821786,0.01768205886737372,2,False
0,Player,15,789,489,3.7963083316892714,0.219693769194981,1,False
0,Player,16,387,366,2.8153305435293174,0.16292422126905773,1,False
0,Player,18,1151,792,4.173475451969895,0.24152057013714667,1,False
0,Player,19,1174,412,N/A,N/A,1,False
0,Player,20,1910,442,N/A,N/A,2,False
0,Player,22,1168,797,5.835657218481903,0.3377116445880731,1,True
1,Player,1,875,721,10.157955088808375,0.5878446231949291,2,False
1,Player,3,346,568,1.929108051075032,0.11163819740017546,2,False
1,Player,4,1329,516,N/A,N/A,2,False
1,Player,5,609,672,6.567415121120267,0.38005874543520063,1,False
1,Player,6,1406,903,5.9766327326889,0.3458699498083854,1,False
1,Player,7,1011,526,3.785699006708036,0.21907980362893728,2,False
1,Player,8,889,423,4.819600583158877,0.27891207078465724,2,False
1,Player,9,1246,501,N/A,N/A,1,False
1,Player,10,1291,462,N/A,N/A,2,False
1,Player,11,377,825,7.9158599916040195,0.45809374951412146,1,False
1,Player,12,238,594,2.3076691529299045,0.13354566857233244,1,False
1,Player,13,1592,694,N/A,N/A,2,False
1,Player,14,556,785,0.30554597722821786,0.01768205886737372,2,False
1,Player,15,789,489,3.7963083316892714,0.219693769194981,1,False
1,Player,16,387,366,2.8153305435293174,0.16292422126905773,1,False
1,Player,18,1151,792,4.173475451969895,0.24152057013714667,1,False
1,Player,19,1174,412,N/A,N/A,1,False
1,Player,20,1910,442,N/A,N/A,2,False
1,Player,22,1167,797,5.835657218481903,0.3377116445880731,1,True
2,Player,1,882,724,10.157955088808375,0.5878446231949291,2,False
2,Player,3,347,568,1.929108051075032,0.11163819740017546,2,False
2,Player,4,1331,516,N/A,N/A,2,False
2,Player,5,613,672,6.567415121120267,0.38005874543520063,1,False
2,Player,6,1405,904,5.9766327326889,0.3458699498083854,1,False
2,Player,7,1012,526,3.785699006708036,0.21907980362893728,2,False
2,Player,8,890,423,4.819600583158877,0.27891207078465724,2,False
2,Player,9,1247,501,N/A,N/A,1,False
2,Player,10,1294,463,N/A,N/A,2,False
2,Player,11,378,826,7.9158599916040195,0.45809374951412146,1,False
2,Player,12,239,594,2.3076691529299045,0.13354566857233244,1,False
2,Player,13,1594,695,N/A,N/A,2,False
2,Player,14,557,785,0.30554597722821786,0.01768205886737372,2,False
2,Player,15,789,489,3.7963083316892714,0.219693769194981,1,False
2,Player,16,387,366,2.8153305435293174,0.16292422126905773,1,False
2,Player,18,1154,792,4.173475451969895,0.24152057013714667,1,False
2,Player,19,1177,412,N/A,N/A,1,False
2,Player,20,1910,443,N/A,N/A,2,False
2,Player,22,1172,798,5.835657218481903,0.3377116445880731,1,True
3,Player,1,888,724,10.157955088808375,0.5878446231949291,2,False
3,Player,3,348,568,1.929108051075032,0.11163819740017546,2,False
3,Player,4,1334,516,N/A,N/A,2,False
3,Player,5,619,672,6.567415121120267,0.38005874543520063,1,False
3,Player,6,1403,905,5.9766327326889,0.3458699498083854,1,False
3,Player,7,1013,526,3.785699006708036,0.21907980362893728,2,False
3,Player,8,893,423,4.819600583158877,0.27891207078465724,2,False
3,Player,9,1249,501,N/A,N/A,1,False
3,Player,10,1296,463,N/A,N/A,2,False
3,Player,11,378,829,7.9158599916040195,0.45809374951412146,1,False
3,Player,12,240,595,2.3076691529299045,0.13354566857233244,1,False
3,Player,13,1598,698,N/A,N/A,2,False
3,Player,14,557,785,0.30554597722821786,0.01768205886737372,2,False
3,Player,15,789,489,3.7963083316892714,0.219693769194981,1,False
3,Player,16,387,367,2.8153305435293174,0.16292422126905773,1,False
3,Player,18,1155,793,4.173475451969895,0.24152057013714667,1,False
3,Player,19,1181,411,N/A,N/A,1,False
3,Player,20,1911,443,N/A,N/A,2,False
3,Player,22,1180,798,5.835657218481903,0.3377116445880731,1,True
4,Player,1,896,723,10.157955088808375,0.5878446231949291,2,False
4,Player,3,349,568,1.929108051075032,0.11163819740017546,2,False
4,Player,4,1336,516,N/A,N/A,2,False
4,Player,5,623,672,6.567415121120267,0.38005874543520063,1,False
4,Player,6,1397,905,5.9766327326889,0.3458699498083854,1,False
4,Player,7,1014,528,3.785699006708036,0.21907980362893728,2,False
4,Player,8,895,423,4.819600583158877,0.27891207078465724,2,False
4,Player,9,1251,501,N/A,N/A,1,False
4,Player,10,1297,464,N/A,N/A,2,False
4,Player,11,377,832,7.9158599916040195,0.45809374951412146,1,False
4,Player,12,241,595,2.3076691529299045,0.13354566857233244,1,False
4,Player,13,1601,706,N/A,N/A,2,False
4,Player,14,557,785,0.30554597722821786,0.01768205886737372,2,False
4,Player,15,789,489,3.7963083316892714,0.219693769194981,1,False
4,Player,16,386,367,2.8153305435293174,0.16292422126905773,1,False
4,Player,18,1159,793,4.173475451969895,0.24152057013714667,1,False
4,Player,19,1183,411,N/A,N/A,1,False
4,Player,20,1911,442,N/A,N/A,2,False
4,Player,22,1183,798,5.835657218481903,0.3377116445880731,1,False
4,Player,26,1107,360,N/A,N/A,2,False
5,Player,1,905,723,16.890204337286885,1.5652870038249573,2,False
5,Player,3,351,568,7.632965751482775,0.5533607524628361,2,False
5,Player,4,1341,516,N/A,N/A,2,False
5,Player,5,626,674,12.559820896729086,1.1069002325144301,1,False
5,Player,6,1389,907,18.657741153142684,1.4256003406152538,1,False
5,Player,7,1015,528,4.0744889480989155,0.4548719881254023,2,False
5,Player,8,899,423,7.030497049761135,0.6857695389421303,2,False
5,Player,9,1253,501,N/A,N/A,1,False
5,Player,10,1299,464,N/A,N/A,2,False
5,Player,11,377,834,5.980179033825913,0.8041689250827507,1,False
5,Player,12,242,595,1.8598790638768925,0.24117755884298592,1,False
5,Player,13,1605,711,N/A,N/A,2,False
5,Player,14,557,785,2.2180306170365305,0.14604031216809887,2,False
5,Player,15,789,491,1.3022976748893758,0.29505821797330134,1,False
5,Player,16,385,367,0.5154873150613483,0.19275566311288575,1,False
5,Player,18,1164,791,21.03287106420159,1.4587006085747385,1,False
5,Player,19,1185,413,N/A,N/A,1,False
5,Player,20,1911,442,N/A,N/A,2,False
